F2 3.0 m from F, f 1.05, hole r 0.5; midsummer noon; the cap the rays meet reaches a(1 - e^2) from the axis at F's level
    d  r_cap  shade  mag  image  figure  through |   through    shadow off strip  crossing      bore        M3    collar       way      slot     strut | net shadow
 0.10  0.194   0.9%   31    61cm   0.0mr    77.9% |     77.6%      0.6%      0.0%      0.0%      0.0%      0.0%      0.0%      0.0%      8.7%      1.6% | 0.0 %
 0.10  0.194   0.9%   31    61cm   4.3mr    56.6% |     56.5%      0.6%      0.0%      0.0%      1.9%      2.2%     15.2%      0.0%      8.7%      1.6% | 0.0 %
 0.15  0.286   1.9%   21    41cm   0.0mr    83.8% |     83.5%      1.8%      0.0%      0.0%      0.0%      0.0%      0.0%      0.0%      8.7%      1.6% | 0.0 %
 0.15  0.286   1.9%   21    41cm   4.3mr    71.1% |     71.1%      1.8%      0.0%      0.0%      0.1%      0.7%     11.7%      0.0%      8.7%      1.6% | 0.0 %
 0.20  0.376   3.2%   16    31cm   0.0mr    77.5% |     77.6%      3.2%      0.0%      0.0%      0.0%      0.0%      6.0%      0.0%      8.7%      1.6% | 0.0 %
 0.20  0.376   3.2%   16    31cm   4.3mr    67.9% |     68.0%      3.2%      0.0%      0.0%      0.0%      0.6%     14.9%      0.0%      8.7%      1.6% | 0.0 %
 0.25  0.464   4.9%   13    25cm   0.0mr    62.7% |     63.2%      5.0%      0.0%      0.0%      0.0%      0.0%     20.4%      0.0%      8.7%      1.6% | 0.0 %
 0.25  0.464   4.9%   13    25cm   4.3mr    58.3% |     58.7%      5.0%      0.0%      0.0%      0.0%      1.3%     23.6%      0.0%      8.7%      1.6% | 0.0 %
 0.30  0.550   6.9%   11    21cm   0.0mr    44.7% |     45.4%      7.1%      0.0%      0.0%      0.0%      0.4%     36.7%      0.0%      8.5%      1.6% | 1.2 %
 0.30  0.550   6.9%   11    21cm   4.3mr    44.5% |     45.1%      7.1%      0.0%      0.0%      0.0%      3.6%     33.9%      0.0%      8.5%      1.6% | 1.2 %
DONE
