VALIDATION: the kernel's deep vertical-bore machine (cap 0.15 m beyond F, r_cap 0.286, F2 3 m below F, no slot, no strut) against the torch twin, 128 x 512 rays, same noise draws, sigb 0.0043
    day/hour    el    who |  through   shadow     hole   no hit crossing     bore       M3      way   collar
  172/12      83.2 kernel |    80.6%     1.8%     4.0%     0.0%     0.0%     0.1%     0.8%     0.0%    12.6%
                     twin |    80.0%     1.8%     4.0%     0.0%     0.0%     0.1%     0.8%     0.0%    13.2%
   80/12      59.4 kernel |     8.2%     1.8%     4.0%     0.0%    84.8%     0.1%     0.1%     0.0%     1.0%
                     twin |     8.2%     1.8%     4.0%     0.0%    84.8%     0.1%     0.1%     0.0%     1.0%
   80/9       37.4 kernel |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
                     twin |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
  355/12      36.4 kernel |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
                     twin |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%

THE COUDE RELAY, midsummer noon (el 83), sigb 0.0043, with the sun's disc: stalk at (1.25, 0.0), deck z 3.6, M4 at z 5.35, stalk 1.4 m beside the axis, M3 patch r 0.55, M4 patch r 0.6, pivot bore r 0.3 over 0.4-1.0 m from the stalk, stalk r 0.46
(a first sweep, kept in the README: F2 at 1.2-1.5 m behind the vertex with M3 relaying 1:1 or magnifying lost 33-70 % of the rays in the pivot's bore - the cap's image, 10-14 cm rms at magnification 16-26, is too large for a 0.30 m bore with the cone it carries; so F2 comes in towards the vertex and M3 demagnifies)
neck   2c     d  mag   s1  s1p   s2  s2p hole | throug cap sh   hole  blade no cap   film     M3  pivot     M4  stalk turn M    way collar | rms radii cm: F2  M3  F3 piv  M4 F2c deck
 1.3 1.20  0.15    9 1.15 0.60 0.80 2.00 0.40 |  57.5%   1.4%   2.2%   0.0%   0.0%   0.2%   2.2%  15.3%   5.5%   0.0%   2.2%   0.0%  13.6% |  8.0 28.1  5.2 23.6 37.2  7.8  5.6
 1.3 1.20  0.15    9 1.15 0.60 0.80 2.00 0.50 |  55.9%   1.4%   4.4%   0.0%   0.0%   0.0%   2.3%  15.1%   5.5%   0.0%   2.2%   0.0%  13.2% |  8.2 28.3  5.2 23.8 37.4  7.8  5.6
 1.3 1.20  0.15    9 1.15 0.60 0.80 2.80 0.40 |  71.7%   1.4%   2.2%   0.0%   0.0%   0.2%   2.2%  15.3%   6.2%   0.1%   0.0%   0.0%   0.9% |  8.0 28.1  5.2 23.6 37.8 10.8  8.8
 1.3 1.20  0.15    9 1.15 0.60 0.80 2.80 0.50 |  69.7%   1.4%   4.4%   0.0%   0.0%   0.0%   2.3%  15.1%   6.1%   0.1%   0.0%   0.0%   0.8% |  8.2 28.3  5.2 23.8 37.9 10.8  8.9
 1.3 1.20  0.15    9 1.15 0.60 0.80 3.50 0.40 |  72.1%   1.4%   2.2%   0.0%   0.0%   0.2%   2.2%  15.3%   6.5%   0.2%   0.0%   0.0%   0.0% |  8.0 28.1  5.2 23.6 38.1 13.4 11.7
 1.3 1.20  0.15    9 1.15 0.60 0.80 3.50 0.50 |  70.1%   1.4%   4.4%   0.0%   0.0%   0.0%   2.3%  15.1%   6.4%   0.2%   0.0%   0.0%   0.0% |  8.2 28.3  5.2 23.8 38.2 13.4 11.8
 1.3 1.20  0.15    9 1.15 0.70 0.70 2.00 0.40 |  64.0%   1.4%   2.2%   0.0%   0.0%   0.2%   2.2%   4.6%   4.1%   0.0%   4.2%   0.0%  17.1% |  8.0 28.3  5.6 16.5 33.4 10.9  7.7
 1.3 1.20  0.15    9 1.15 0.70 0.70 2.00 0.50 |  62.3%   1.4%   4.4%   0.0%   0.0%   0.0%   2.3%   4.6%   4.0%   0.0%   4.1%   0.0%  16.7% |  8.2 28.5  5.6 16.6 33.5 10.9  7.7
 1.3 1.20  0.15    9 1.15 0.70 0.70 2.80 0.40 |  81.4%   1.4%   2.2%   0.0%   0.0%   0.2%   2.2%   4.6%   4.6%   0.0%   0.3%   0.0%   3.1% |  8.0 28.3  5.6 16.5 33.8 15.0  7.7
 1.3 1.20  0.15    9 1.15 0.70 0.70 2.80 0.50 |  79.4%   1.4%   4.4%   0.0%   0.0%   0.0%   2.3%   4.6%   4.5%   0.0%   0.3%   0.0%   3.0% |  8.2 28.5  5.6 16.6 34.0 15.0  7.8
 1.3 1.20  0.15    9 1.15 0.70 0.70 3.50 0.40 |  83.9%   1.4%   2.2%   0.0%   0.0%   0.2%   2.2%   4.6%   4.8%   0.1%   0.0%   0.0%   0.6% |  8.0 28.3  5.6 16.5 34.1 18.7  9.5
 1.3 1.20  0.15    9 1.15 0.70 0.70 3.50 0.50 |  81.8%   1.4%   4.4%   0.0%   0.0%   0.0%   2.3%   4.6%   4.8%   0.1%   0.0%   0.0%   0.6% |  8.2 28.5  5.6 16.6 34.2 18.7  9.6
 1.3 1.20  0.15    9 1.15 0.80 0.60 2.00 0.40 |  65.0%   1.4%   2.2%   0.0%   0.0%   0.2%   2.3%   1.7%   2.3%   0.1%   6.8%   0.0%  18.0% |  8.0 28.4  6.2 13.7 28.6 15.0 11.2
 1.3 1.20  0.15    9 1.15 0.80 0.60 2.00 0.50 |  63.4%   1.4%   4.4%   0.0%   0.0%   0.0%   2.4%   1.7%   2.3%   0.1%   6.7%   0.0%  17.6% |  8.2 28.6  6.2 13.8 28.7 15.0 11.2
 1.3 1.20  0.15    9 1.15 0.80 0.60 2.80 0.40 |  82.1%   1.4%   2.2%   0.0%   0.0%   0.2%   2.3%   1.7%   2.7%   0.0%   1.6%   0.0%   5.9% |  8.0 28.4  6.2 13.7 28.9 20.7  8.9
 1.3 1.20  0.15    9 1.15 0.80 0.60 2.80 0.50 |  80.1%   1.4%   4.4%   0.0%   0.0%   0.0%   2.4%   1.7%   2.6%   0.0%   1.6%   0.0%   5.7% |  8.2 28.6  6.2 13.8 29.0 20.7  8.9
 1.3 1.20  0.15    9 1.15 0.80 0.60 3.50 0.40 |  86.4%   1.4%   2.2%   0.0%   0.0%   0.2%   2.3%   1.7%   2.8%   0.0%   0.6%   0.0%   2.4% |  8.0 28.4  6.2 13.7 29.1 25.7  8.9
 1.3 1.20  0.15    9 1.15 0.80 0.60 3.50 0.50 |  84.3%   1.4%   4.4%   0.0%   0.0%   0.0%   2.4%   1.7%   2.8%   0.0%   0.6%   0.0%   2.3% |  8.2 28.6  6.2 13.8 29.2 25.8  9.0
