t,U,dir,gust,U100
2013-01-01 00:00:00,0.28,135,5.9,1.7
2013-01-01 01:00:00,0.22,153,5.9,1.9
2013-01-01 02:00:00,0.2,270,6.1,2.53
2013-01-01 03:00:00,0.32,288,6.6,2.72
2013-01-01 04:00:00,0.41,284,7.2,2.94
2013-01-01 05:00:00,0.41,284,7.8,2.82
2013-01-01 06:00:00,0.4,270,8.4,2.75
2013-01-01 07:00:00,0.73,286,8.9,3.28
2013-01-01 08:00:00,1.36,287,9.6,3.98
2013-01-01 09:00:00,1.46,286,10.1,3.86
2013-01-01 10:00:00,2.45,282,11.8,3.96
2013-01-01 11:00:00,3.01,285,13.3,4.65
2013-01-01 12:00:00,3.96,286,14.7,6.3
2013-01-01 13:00:00,4.59,290,16.2,7.39
2013-01-01 14:00:00,4.97,295,16.7,8.1
2013-01-01 15:00:00,4.88,296,16.7,7.96
2013-01-01 16:00:00,4.43,298,16.2,7.48
2013-01-01 17:00:00,3.31,299,14.9,6.72
2013-01-01 18:00:00,2.82,297,12.9,5.97
2013-01-01 19:00:00,2.09,287,11.4,4.79
2013-01-01 20:00:00,1.51,278,9.9,3.86
2013-01-01 21:00:00,1.2,270,8.8,3.38
2013-01-01 22:00:00,0.8,270,8.0,3.01
2013-01-01 23:00:00,0.41,284,7.5,2.51
2013-01-02 00:00:00,0.32,342,7.0,2.33
2013-01-02 01:00:00,0.2,360,7.0,2.22
2013-01-02 02:00:00,0.22,27,7.0,2.24
2013-01-02 03:00:00,0.14,45,7.0,2.15
2013-01-02 04:00:00,0.2,90,6.9,1.97
2013-01-02 05:00:00,0.22,117,6.9,1.52
2013-01-02 06:00:00,0.42,135,6.7,1.14
2013-01-02 07:00:00,0.42,135,6.5,1.22
2013-01-02 08:00:00,0.5,127,6.3,1.03
2013-01-02 09:00:00,0.22,117,6.0,0.94
2013-01-02 10:00:00,0.32,288,5.9,1.03
2013-01-02 11:00:00,0.85,291,6.1,1.3
2013-01-02 12:00:00,1.39,291,6.8,1.84
2013-01-02 13:00:00,1.71,291,7.3,2.19
2013-01-02 14:00:00,1.88,295,7.6,2.46
2013-01-02 15:00:00,1.8,289,7.7,2.34
2013-01-02 16:00:00,1.71,291,7.6,2.34
2013-01-02 17:00:00,1.49,290,7.2,2.47
2013-01-02 18:00:00,1.24,284,6.6,2.53
2013-01-02 19:00:00,0.92,283,6.4,2.44
2013-01-02 20:00:00,0.61,279,6.2,2.47
2013-01-02 21:00:00,0.3,270,6.4,2.25
2013-01-02 22:00:00,0.22,207,6.7,2.09
2013-01-02 23:00:00,0.1,180,6.9,2.09
2013-01-03 00:00:00,0.1,90,7.0,1.99
2013-01-03 01:00:00,0.2,90,7.2,2.02
2013-01-03 02:00:00,0.2,90,7.3,1.88
2013-01-03 03:00:00,0.3,90,7.4,1.75
2013-01-03 04:00:00,0.3,90,7.4,1.66
2013-01-03 05:00:00,0.3,90,7.3,1.75
2013-01-03 06:00:00,0.32,108,7.2,1.9
2013-01-03 07:00:00,0.2,90,7.1,1.9
2013-01-03 08:00:00,0.3,90,7.0,1.9
2013-01-03 09:00:00,0.14,45,7.0,1.84
2013-01-03 10:00:00,0.63,288,7.0,1.55
2013-01-03 11:00:00,1.55,285,7.4,2.12
2013-01-03 12:00:00,1.99,288,8.1,2.72
2013-01-03 13:00:00,2.18,286,8.6,3.04
2013-01-03 14:00:00,2.62,288,9.3,3.67
2013-01-03 15:00:00,2.82,287,9.6,3.98
2013-01-03 16:00:00,2.88,290,9.7,4.37
2013-01-03 17:00:00,2.34,290,9.6,4.35
2013-01-03 18:00:00,1.65,284,8.6,3.55
2013-01-03 19:00:00,1.41,278,7.5,3.16
2013-01-03 20:00:00,1.24,284,7.4,3.2
2013-01-03 21:00:00,1.02,281,7.5,3.14
2013-01-03 22:00:00,0.81,277,7.4,2.92
2013-01-03 23:00:00,0.51,281,7.5,2.82
2013-01-04 00:00:00,0.41,284,7.2,2.82
2013-01-04 01:00:00,0.32,288,7.3,2.69
2013-01-04 02:00:00,0.36,304,7.4,2.73
2013-01-04 03:00:00,0.32,288,7.4,2.75
2013-01-04 04:00:00,0.36,304,7.4,2.69
2013-01-04 05:00:00,0.28,315,7.4,2.68
2013-01-04 06:00:00,0.22,333,7.3,2.46
2013-01-04 07:00:00,0.2,360,7.2,2.37
2013-01-04 08:00:00,0.2,360,7.0,2.25
2013-01-04 09:00:00,0.45,333,6.9,2.14
2013-01-04 10:00:00,1.0,307,6.8,1.72
