t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,1424.83,156.434,574.684,-7.25324,451.662,-97.235,1.38677,0.559334,0.104666
3.00667,1419.35,158.216,571.75,-8.99848,449.263,-102.942,1.38144,0.556478,0.10411
3.01333,1418.53,156.226,571.157,-8.9,447.79,-97.3053,1.38064,0.555901,0.103769
3.02,1415.91,155.103,571.85,-7.74523,435.054,-93.8792,1.37809,0.556575,0.100818
3.02667,1416.82,157.242,574.022,-7.0365,420.846,-96.2917,1.37898,0.558689,0.097525
3.03333,1422.88,157.03,577.496,-6.53699,415.392,-91.6416,1.38487,0.562071,0.0962611
3.04,1427.52,156.69,579.323,-4.92306,405.721,-91.1952,1.38939,0.563848,0.0940201
3.04667,1432.47,158.86,583.612,-3.88649,396.878,-94.7209,1.39421,0.568023,0.0919708
3.05333,1440.31,160.521,586.611,-4.81412,397.183,-89.0312,1.40184,0.570942,0.0920413
3.06,1445.75,161.455,588.201,-5.73364,395.2,-84.0198,1.40713,0.57249,0.0915819
3.06667,1446.52,163.305,588.926,-7.1116,392.596,-82.7888,1.40788,0.573196,0.0909784
3.07333,1449.32,163.857,589.875,-9.074,393.72,-76.1905,1.41061,0.574118,0.0912389
3.08,1452.18,164.036,589.549,-9.31375,391.589,-71.9989,1.41339,0.573802,0.0907451
3.08667,1451.25,164.635,590.046,-10.1376,385.287,-74.4344,1.41249,0.574285,0.0892846
3.09333,1453.09,164.309,591.139,-10.2456,384.072,-71.7737,1.41427,0.57535,0.0890031
3.1,1457.5,163.611,592.282,-8.18639,382.88,-71.0962,1.41857,0.576462,0.0887269
3.10667,1459.16,165.459,593.187,-10.4551,377.198,-72.9769,1.42018,0.577343,0.0874101
3.11333,1460.15,164.419,593.967,-9.8024,378.525,-69.2652,1.42115,0.578101,0.0877176
3.12,1462.37,163.777,594.201,-9.90198,381.659,-66.8254,1.42331,0.57833,0.0884439
3.12667,1460.13,165.256,593.091,-12.1936,381.259,-69.3335,1.42113,0.577249,0.0883513
3.13333,1455.28,162.721,590.412,-10.4432,386.251,-69.8447,1.41641,0.574642,0.0895082
3.14,1451.44,159.94,588.071,-7.65816,389.072,-72.4342,1.41267,0.572363,0.0901618
3.14667,1447.29,161.481,586.832,-8.66924,385.871,-78.3388,1.40863,0.571157,0.0894199
3.15333,1443.93,159.865,584.51,-6.5117,387.109,-78.65,1.40536,0.568897,0.0897068
3.16,1442.69,157.644,583.439,-4.6148,388.329,-77.7399,1.40415,0.567855,0.0899897
3.16667,1441.93,160.153,583.845,-6.65229,385.01,-80.9396,1.40342,0.56825,0.0892206
3.17333,1441.67,160.022,583.511,-7.08846,384.98,-78.0728,1.40316,0.567925,0.0892136
3.18,1444.2,157.176,584.505,-4.65815,383.268,-77.3899,1.40563,0.568892,0.0888169
3.18667,1446.23,159.216,586.278,-4.7141,382.573,-82.1903,1.4076,0.570618,0.0886558
3.19333,1445.55,158.9,584.154,-4.39219,386.925,-85.4198,1.40694,0.568551,0.0896643
3.2,1445.09,155.296,582.324,-1.11245,391.17,-87.3125,1.40649,0.56677,0.0906479
3.20667,1442.3,155.659,581.802,-1.20025,394.963,-92.66,1.40377,0.566262,0.0915269
3.21333,1439.07,156.93,578.911,-1.90309,399.194,-94.8775,1.40063,0.563448,0.0925073
3.22,1437.64,154.004,577.274,0.922226,398.51,-93.6405,1.39924,0.561854,0.0923488
3.22667,1435.4,154.572,578.578,-0.13757,396.739,-93.6794,1.39705,0.563123,0.0919385
3.23333,1435.2,157.548,578.498,-1.68782,393.467,-93.3878,1.39687,0.563046,0.0911803
3.24,1436.67,155.472,579.083,1.21281,386.396,-90.8422,1.39829,0.563616,0.0895417
3.24667,1434.91,155.091,580.612,0.27388,380.446,-91.0067,1.39658,0.565103,0.0881629
3.25333,1433.83,157.405,580.284,0.128388,378.372,-95.4035,1.39553,0.564784,0.0876822
3.26,1434.3,155.209,579.338,4.24023,375.921,-96.5176,1.39599,0.563863,0.0871143
3.26667,1430.5,153.448,578.732,4.13991,375.07,-97.7214,1.39229,0.563273,0.0869169
3.27333,1424.33,155.161,576.022,2.62849,377.232,-99.9623,1.38629,0.560636,0.0874181
3.28,1420.82,154.284,572.365,4.76597,381.647,-98.7111,1.38287,0.557077,0.088441
3.28667,1412.8,151.943,569.061,2.19897,384.601,-95.7516,1.37506,0.55386,0.0891257
3.29333,1404.36,153.202,565.108,-0.783944,391.558,-95.3582,1.36685,0.550013,0.0907378
3.3,1401.41,152.554,561.878,1.27658,397.926,-95.1213,1.36398,0.54687,0.0922135
3.30667,1395.18,150.766,559.163,-1.22116,404.922,-92.3521,1.35792,0.544227,0.0938347
3.31333,1388.24,152.085,557.267,-3.79171,409.503,-92.8894,1.35116,0.542382,0.0948964
3.32,1388.61,151.969,556.931,-1.3081,409.569,-92.4812,1.35152,0.542055,0.0949118
3.32667,1388.88,151.758,559.144,-2.91589,407.103,-87.6132,1.35179,0.544209,0.0943403
3.33333,1390.58,153.766,562.291,-4.8481,400.329,-86.1447,1.35344,0.547272,0.0927705
3.34,1401.79,154.571,568.316,-2.77633,391.479,-85.6237,1.36434,0.553136,0.0907196
3.34667,1411,155.491,574.51,-3.86406,388.553,-80.6874,1.37331,0.559165,0.0900416
3.35333,1418.02,157.864,579.625,-6.73618,387.024,-81.2437,1.38014,0.564142,0.0896872
3.36,1429.66,158.475,586.079,-3.28559,383.547,-82.9152,1.39148,0.570424,0.0888813
3.36667,1438.41,158.737,591.424,-3.90544,384.881,-82.4068,1.39999,0.575627,0.0891907
3.37333,1440.71,160.168,593.664,-7.08357,385.401,-83.1516,1.40222,0.577806,0.0893111
3.38,1445.42,160.289,596.053,-3.63018,383.824,-86.7103,1.40681,0.580132,0.0889456
3.38667,1444.99,160.401,595.224,-6.33224,392.224,-83.3792,1.40639,0.579325,0.0908922
3.39333,1437.99,161.481,590.696,-11.4311,402.046,-82.0972,1.39958,0.574918,0.0931684
3.4,1433.47,160.461,587.047,-8.36283,408.263,-84.9713,1.39518,0.571366,0.0946089
3.40667,1425.32,159.58,582.681,-9.25044,418.097,-83.0388,1.38725,0.567117,0.0968878
3.41333,1417.28,160.35,578.305,-12.5607,424.177,-84.7888,1.37943,0.562858,0.0982969
3.42,1412.75,159.458,576.049,-9.68704,422.506,-86.2338,1.37502,0.560662,0.0979095
3.42667,1408.02,158.934,574.202,-11.1648,428.576,-82.9947,1.37041,0.558865,0.0993163
3.43333,1400.55,159.583,570.977,-13.8568,433.607,-83.1523,1.36314,0.555726,0.100482
3.44,1396.13,158.175,567.923,-10.6002,433.34,-86.8034,1.35884,0.552753,0.10042
3.44667,1389.49,157.134,565.702,-11.506,440.761,-85.6088,1.35237,0.550592,0.10214
3.45333,1382.67,157.271,562.239,-13.8818,450.937,-87.4293,1.34574,0.547221,0.104498
3.46,1379.2,155.4,559.498,-10.5452,449.587,-91.8511,1.34236,0.544553,0.104185
3.46667,1375.61,153.877,559.77,-10.0565,455.507,-92.4422,1.33886,0.544818,0.105557
3.47333,1374.38,154.57,560.532,-10.0752,459.483,-94.4512,1.33767,0.545559,0.106478
3.48,1377.29,153.887,561.405,-7.77275,452.206,-99.7635,1.3405,0.546409,0.104792
3.48667,1380.46,153.481,566.135,-6.42428,451.606,-97.7084,1.34358,0.551013,0.104653
3.49333,1386,155.029,570.3,-6.23739,450.946,-98.7909,1.34898,0.555067,0.1045
3.5,1394.57,156.207,573.943,-4.55735,439.86,-102.995,1.35732,0.558613,0.101931
3.50667,1398.96,155.798,579.135,-4.49457,438.872,-99.3319,1.36159,0.563666,0.101702
3.51333,1404.59,157.383,582.957,-5.43949,439.725,-96.7473,1.36707,0.567386,0.1019
3.52,1410.03,158.632,584.742,-4.99776,430.234,-100.084,1.37237,0.569123,0.0997005
3.52667,1409.41,157.659,587.299,-4.61599,428.182,-98.2813,1.37176,0.571611,0.0992249
3.53333,1410.35,158.313,589.304,-3.95944,429.404,-97.0066,1.37268,0.573563,0.0995082
3.54,1411.82,159.418,588.039,-3.28895,422.983,-101.015,1.37411,0.572331,0.0980202
3.54667,1405.07,158.343,586.942,-5.32739,425.717,-98.4104,1.36754,0.571264,0.0986538
3.55333,1398.23,157.456,585.569,-3.73258,430.042,-96.031,1.36088,0.569928,0.099656
3.56,1392.91,158.412,580.789,-4.87319,424.188,-98.7177,1.3557,0.565275,0.0982995
3.56667,1384.26,157.125,578.234,-7.11912,423.795,-94.9527,1.34729,0.562789,0.0982083
3.57333,1380.64,155.776,578.523,-5.53191,425.211,-90.9081,1.34376,0.56307,0.0985364
3.58,1382.57,157.665,577.558,-4.69824,418.957,-93.8694,1.34564,0.562131,0.0970872
3.58667,1382.64,158.075,578.458,-7.82091,418.466,-92.6479,1.34571,0.563007,0.0969735
3.59333,1385.16,156.326,582.47,-5.72197,419.583,-89.7863,1.34816,0.566911,0.0972323
3.6,1390.35,157.858,583.977,-4.96458,413.598,-92.4692,1.35321,0.568378,0.0958454
3.60667,1391.2,160.035,585.358,-8.80944,411.682,-90.1366,1.35404,0.569722,0.0954013
3.61333,1395.34,157.944,589.939,-6.11338,410.382,-85.9969,1.35807,0.574181,0.0951001
3.62,1399.91,158.769,592.224,-4.98758,402.078,-88.7691,1.36251,0.576406,0.0931758
3.62667,1398.69,160.36,591.925,-7.91748,399.42,-90.243,1.36133,0.576114,0.0925598
3.63333,1400.67,157.354,595.449,-4.18741,397.081,-89.6747,1.36326,0.579544,0.0920177
3.64,1402.93,156.918,596.972,-2.46997,389.052,-92.634,1.36546,0.581026,0.0901573
3.64667,1401.76,159.83,596.234,-5.64588,387.946,-93.4019,1.36431,0.580308,0.0899009
3.65333,1404.04,157.948,598.21,-3.59872,390.347,-90.5743,1.36654,0.582232,0.0904572
3.66,1404.32,156.869,598.096,-2.41225,387.074,-91.2538,1.36681,0.58212,0.0896989
3.66667,1399.95,159.512,595.826,-5.97554,390.313,-92.4705,1.36255,0.579911,0.0904493
3.67333,1396.35,157.65,594.523,-3.67199,393.821,-90.2593,1.35905,0.578643,0.0912624
3.68,1390.75,154.864,591.733,-1.89854,391.289,-91.4142,1.3536,0.575927,0.0906756
3.68667,1381.48,156.815,587.737,-4.89525,393.131,-94.585,1.34458,0.572038,0.0911023
3.69333,1378.28,155.878,586.068,-1.7165,396.763,-94.7077,1.34146,0.570414,0.091944
3.7,1374.77,152.662,584.328,-0.285411,395.511,-94.4777,1.33805,0.56872,0.0916539
3.70667,1367.64,154.809,580.852,-4.34353,397.871,-97.0778,1.33111,0.565337,0.0922009
3.71333,1366.12,154.209,580.649,-1.17838,400.335,-96.7526,1.32963,0.565139,0.0927719
3.72,1362.93,150.742,579.286,0.0886668,398.503,-95.8581,1.32652,0.563812,0.0923472
3.72667,1357.53,152.364,576.863,-3.95499,397.189,-98.0657,1.32127,0.561454,0.0920427
3.73333,1358.36,152.795,577.841,-0.218154,397.214,-98.0154,1.32208,0.562406,0.0920485
3.74,1358.57,149.857,577.583,0.886728,395.517,-96.2292,1.32228,0.562155,0.0916553
3.74667,1355.53,151.312,576.212,-2.3616,396.62,-98.8524,1.31932,0.560821,0.091911
3.75333,1356.29,152.664,576.336,-0.515269,400.253,-99.3816,1.32006,0.560941,0.0927528
3.76,1356.86,150.414,575.991,0.549763,401.364,-96.2509,1.32062,0.560605,0.0930102
3.76667,1353.5,152.177,574.649,-4.13328,401.508,-95.5831,1.31735,0.5593,0.0930436
3.77333,1353.6,153.728,575.125,-3.55317,402.758,-93.1534,1.31745,0.559763,0.0933333
3.78,1353.7,151.449,574.103,-3.54356,403.894,-87.9487,1.31754,0.558768,0.0935965
3.78667,1348.89,152.317,572.162,-7.99921,404.248,-87.6016,1.31286,0.556879,0.0936787
3.79333,1347.95,153.551,572.645,-4.93707,403.876,-88.7328,1.31195,0.55735,0.0935923
3.8,1347.79,150.736,571.754,-2.94177,405.351,-88.3624,1.31179,0.556482,0.0939343
3.80667,1343.17,150.67,569.832,-6.04997,404.73,-90.316,1.30729,0.554611,0.0937903
3.81333,1343.17,152.208,571.109,-2.22501,402.083,-92.7207,1.3073,0.555854,0.093177
3.82,1345.74,149.829,570.988,-1.11577,403.025,-90.9615,1.30979,0.555736,0.0933952
3.82667,1343.94,150.972,570.287,-5.22265,402.969,-90.227,1.30804,0.555054,0.0933821
3.83333,1343.52,151.964,570.997,-2.75115,401.84,-90.376,1.30764,0.555745,0.0931206
3.84,1344.14,150.334,569.64,-3.09617,405.364,-87.0034,1.30823,0.554424,0.0939373
3.84667,1339.42,150.651,567.039,-7.06755,407.215,-86.431,1.30364,0.551893,0.0943662
3.85333,1334.95,151.13,566.356,-5.13102,407.282,-86.331,1.29929,0.551228,0.0943818
3.86,1332.37,149.343,563.352,-4.9146,409.744,-84.7636,1.29678,0.548304,0.0949523
3.86667,1327.84,149.08,560.816,-7.63869,410.51,-84.8106,1.29237,0.545836,0.0951297
3.87333,1325.17,150.285,560.963,-6.10786,408.495,-85.5991,1.28978,0.545979,0.0946628
3.88,1324.16,148.36,559.641,-4.58254,410.12,-84.802,1.28879,0.544692,0.0950395
3.88667,1321.53,147.65,557.539,-6.92497,412.103,-85.7631,1.28623,0.542647,0.0954989
3.89333,1319.09,149.437,557.261,-5.67528,410.876,-87.9645,1.28386,0.542376,0.0952146
3.9,1318.8,147.511,556.571,-4.44085,413.222,-86.2918,1.28357,0.541704,0.0957583
3.90667,1318.43,146.808,555.409,-6.18179,415.361,-87.9997,1.28321,0.540574,0.0962539
3.91333,1317.11,149.322,555.452,-5.98611,413.317,-89.2796,1.28193,0.540615,0.0957801
3.92,1315.66,147.022,554.518,-4.6304,415.914,-86.7937,1.28052,0.539706,0.0963821
3.92667,1314.28,146.438,552.87,-6.71999,417.311,-88.1234,1.27917,0.538102,0.0967057
3.93333,1312.99,149.021,552.492,-6.48274,415.712,-89.1565,1.27792,0.537735,0.0963352
3.94,1309.96,146.575,551.181,-5.44772,418.717,-87.3845,1.27497,0.536459,0.0970316
3.94667,1308.17,145.879,549.17,-7.08572,420.634,-87.6888,1.27323,0.534501,0.0974759
3.95333,1305.31,148.352,547.917,-7.13901,419.627,-89.7262,1.27044,0.533282,0.0972424
