t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,223.369,-28.5407,-356.441,-40.9613,-74.667,-102.005,0.217403,-0.34692,-0.017303
3.01,62.2849,-104.129,-319.473,15.0934,-38.2872,84.158,0.0606212,-0.310939,-0.00887251
3.02,68.9472,20.2239,-327.035,-12.2421,-32.5418,41.8133,0.0671056,-0.3183,-0.00754108
3.03,223.743,-19.0138,-354.534,-40.383,-72.3228,-104.376,0.217766,-0.345064,-0.0167598
3.04,75.7593,-106.945,-322.272,11.0026,-43.3264,72.4476,0.0737357,-0.313664,-0.0100403
3.05,55.7748,13.4629,-325.744,-9.48396,-31.5296,54.3435,0.054285,-0.317043,-0.00730653
3.06,221.426,-9.92051,-352.027,-39.1001,-68.1858,-104.166,0.215512,-0.342624,-0.0158011
3.07,90.5877,-109.027,-325.362,6.46734,-47.3299,59.722,0.088168,-0.316671,-0.010968
3.08,45.2558,6.44853,-325.408,-8.20292,-31.2239,65.6909,0.0440469,-0.316716,-0.00723569
3.09,216.228,-2.30018,-349.799,-37.7129,-64.1557,-101.646,0.210452,-0.340455,-0.0148672
3.1,104.781,-108.694,-327.886,3.30889,-50.3212,46.2915,0.101982,-0.319128,-0.0116612
3.11,36.7529,-1.47639,-325.538,-5.8606,-32.3694,74.6292,0.0357712,-0.316842,-0.00750114
3.12,208.548,4.42463,-346.862,-35.5217,-60.9634,-95.692,0.202978,-0.337597,-0.0141274
3.13,119.807,-106.943,-329.715,0.605472,-52.6504,32.9623,0.116607,-0.320908,-0.012201
3.14,31.6529,-9.77563,-325.822,-5.70683,-33.7588,80.704,0.0308074,-0.317119,-0.00782312
3.15,198.43,9.84328,-344.214,-32.701,-57.5208,-88.1707,0.19313,-0.33502,-0.0133296
3.16,132.554,-104.421,-330.189,-1.86729,-54.4151,20.2497,0.129013,-0.32137,-0.0126099
3.17,28.9088,-17.3837,-326.83,-5.30118,-35.9436,85.8063,0.0281366,-0.3181,-0.00832941
3.18,187.844,14.0016,-342.861,-30.753,-54.0356,-79.8522,0.182827,-0.333703,-0.012522
3.19,144.99,-101.199,-331.425,-3.69101,-55.4448,8.03307,0.141117,-0.322573,-0.0128485
3.2,28.9383,-24.5465,-328.026,-6.38678,-38.5634,86.3975,0.0281653,-0.319264,-0.00893652
3.21,176.041,17.2513,-340.939,-28.6055,-51.6393,-69.9867,0.171339,-0.331832,-0.0119667
3.22,154.757,-97.3764,-332.013,-4.93369,-55.5717,-2.19967,0.150623,-0.323145,-0.0128779
3.23,31.4766,-31.5148,-329.934,-6.99671,-40.3357,87.0139,0.0306358,-0.321122,-0.0093472
3.24,163.815,19.6583,-340.038,-26.4821,-48.586,-59.5398,0.159439,-0.330955,-0.0112591
3.25,162.688,-92.2943,-332.014,-5.50377,-55.3494,-10.9097,0.158342,-0.323145,-0.0128264
3.26,35.8187,-38.2469,-331.072,-7.31304,-41.6398,83.959,0.034862,-0.322229,-0.00964942
3.27,151.97,21.0547,-338.565,-24.4451,-46.5254,-49.0607,0.147911,-0.329521,-0.0107816
3.28,168.483,-87.7931,-333.005,-6.08707,-54.9218,-18.1516,0.163983,-0.32411,-0.0127273
3.29,41.8815,-44.3662,-331.561,-8.36407,-43.7776,80.7201,0.0407628,-0.322704,-0.0101448
3.3,141.228,22.1628,-337.887,-23.2677,-45.1843,-38.302,0.137456,-0.328861,-0.0104708
3.31,172.25,-82.6869,-332.942,-6.32253,-53.4537,-24.0757,0.167649,-0.324049,-0.0123871
3.32,48.5723,-50.0581,-332.194,-9.07396,-45.4429,75.8237,0.0472749,-0.323321,-0.0105307
3.33,130.315,22.1355,-338.05,-21.7681,-44.158,-29.3421,0.126835,-0.329021,-0.010233
3.34,174.075,-76.8127,-333.068,-6.50429,-54.2768,-27.7979,0.169425,-0.324172,-0.0125779
3.35,56.6592,-56.1605,-333.084,-9.94079,-46.5057,69.8262,0.0551458,-0.324187,-0.010777
3.36,121.552,21.5966,-336.472,-21.1553,-43.1605,-20.2006,0.118306,-0.327485,-0.0100018
3.37,174.073,-70.7361,-333.326,-6.58,-54.0821,-30.1659,0.169423,-0.324422,-0.0125327
3.38,64.9334,-61.6104,-333.522,-11.0703,-48.1443,64.0695,0.0631989,-0.324613,-0.0111567
3.39,113.754,20.3963,-335.641,-20.2476,-42.752,-11.8402,0.110715,-0.326676,-0.00990716
3.4,172.801,-64.3613,-334.076,-6.76897,-53.9779,-32.1274,0.168186,-0.325153,-0.0125086
3.41,73.3889,-66.8834,-333.88,-11.0711,-49.3024,56.9886,0.0714286,-0.324962,-0.0114251
3.42,107.721,17.9365,-334.223,-18.8065,-40.5992,-4.84006,0.104844,-0.325296,-0.00940827
3.43,170.185,-56.47,-334.555,-7.76336,-54.1354,-32.536,0.16564,-0.325618,-0.0125451
3.44,81.7617,-71.3812,-334.088,-11.6489,-50.8765,51.0352,0.0795778,-0.325164,-0.0117899
3.45,102.455,14.6806,-332.85,-18.4224,-39.9138,2.45931,0.0997184,-0.32396,-0.00924945
3.46,166.062,-49.1647,-334.981,-8.35368,-54.3534,-31.6193,0.161626,-0.326033,-0.0125956
