t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,-197.018,-380.254,130.992,-107.222,50.0172,-39.5072,0.127493,-0.370097,-0.0248471
3.01,-192.029,-374.74,129.695,-100.997,48.2095,-34.9811,0.126231,-0.36473,-0.0234046
3.02,-187.607,-368.29,131.556,-95.7419,41.6348,-31.0997,0.128042,-0.358452,-0.0221868
3.03,-189.825,-365.159,132.858,-87.7952,38.5206,-28.9619,0.129309,-0.355406,-0.0203453
3.04,-188.083,-365.528,131.155,-79.185,35.7941,-23.2026,0.127652,-0.355765,-0.01835
3.05,-187.511,-366.315,133.527,-76.0962,32.5871,-21.135,0.129961,-0.35653,-0.0176342
3.06,-192.101,-368.825,133.318,-76.7001,34.5006,-23.2073,0.129757,-0.358973,-0.0177741
3.07,-191.097,-369.619,130.941,-78.2942,37.6156,-19.98,0.127443,-0.359746,-0.0181435
3.08,-189.511,-369.728,132.922,-80.7826,37.0563,-19.7663,0.129372,-0.359852,-0.0187202
3.09,-194.186,-372.243,131.526,-87.6501,43.4464,-22.8502,0.128013,-0.3623,-0.0203116
3.1,-195.318,-375.202,130.189,-88.9178,46.4723,-18.9586,0.126712,-0.36518,-0.0206054
3.11,-195.013,-377.756,131.671,-91.1326,43.9606,-16.728,0.128154,-0.367666,-0.0211187
3.12,-201.048,-383.44,131.607,-90.6999,47.4724,-21.3596,0.128092,-0.373198,-0.0210184
3.13,-202.738,-386.673,131.27,-88.6142,48.1015,-18.9889,0.127763,-0.376345,-0.0205351
3.14,-200.307,-384.195,132.007,-89.4589,44.6009,-11.7972,0.128481,-0.373933,-0.0207308
3.15,-203.347,-382.047,130.8,-84.3241,45.7306,-9.00752,0.127307,-0.371843,-0.0195409
3.16,-201.158,-375.898,132.984,-70.6392,39.8983,-3.78913,0.129432,-0.365857,-0.0163696
3.17,-193.173,-362.133,133.764,-56.9097,30.4459,5.58394,0.130191,-0.35246,-0.013188
3.18,-190.817,-350.335,132.33,-48.3862,27.6867,10.2606,0.128795,-0.340977,-0.0112128
3.19,-187.46,-342.84,134.17,-41.6261,25.6733,12.1928,0.130587,-0.333683,-0.00964624
3.2,-181.598,-335.7,134.127,-42.5775,23.7596,15.7157,0.130545,-0.326733,-0.00986673
3.21,-185.934,-338.192,133.154,-41.3729,23.9435,16.8558,0.129597,-0.329158,-0.00958757
3.22,-189.537,-344.472,136.056,-41.7605,24.4717,11.3144,0.132422,-0.335271,-0.00967738
3.23,-187.23,-347.11,136.625,-44.6666,24.4721,8.97068,0.132975,-0.337838,-0.0103508
3.24,-190.984,-349.403,134.698,-48.374,25.728,9.24391,0.1311,-0.34007,-0.01121
3.25,-195.098,-354.983,135.092,-51.5673,29.3494,5.37276,0.131483,-0.345501,-0.01195
3.26,-191.004,-355.798,134.588,-60.7485,33.8633,7.16232,0.130993,-0.346294,-0.0140776
3.27,-194.72,-358.237,132.469,-68.3513,35.0417,9.12004,0.12893,-0.348669,-0.0158394
3.28,-198.53,-363.508,132.079,-71.3282,40.8366,1.53273,0.128551,-0.353798,-0.0165293
3.29,-193.83,-367.24,133.194,-76.1818,41.2481,-1.95638,0.129637,-0.357431,-0.017654
3.3,-196.09,-368.291,133.096,-79.0787,36.3618,-0.516332,0.129541,-0.358453,-0.0183253
