t_s,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,Cd,Cl,Cm
3,806.625,0.517768,-1395.36,0.972804,-616.98,-0.474447,0.785079,-1.35808,-0.142976
3.01,789.483,0.0574014,-1392.62,-0.0573726,-608.276,0.440003,0.768395,-1.35542,-0.140959
3.02,795.003,-0.364952,-1395.66,-1.30428,-612.784,-0.564956,0.773768,-1.35839,-0.142004
3.03,809.557,0.647182,-1399.01,-0.620552,-611.496,-0.705888,0.787933,-1.36164,-0.141705
3.04,795.304,0.254557,-1398.94,-1.82648,-600.799,-0.689891,0.774061,-1.36158,-0.139226
3.05,797.855,-0.431105,-1400.69,-2.81859,-604.952,-1.33799,0.776544,-1.36327,-0.140189
3.06,811.806,0.85405,-1401.31,-0.500011,-609.712,-1.19059,0.790122,-1.36388,-0.141292
3.07,796.43,-0.100068,-1398.64,1.56168,-604.036,0.775965,0.775156,-1.36128,-0.139977
3.08,794.428,-0.580921,-1397.88,0.693833,-609.191,1.15641,0.773208,-1.36055,-0.141171
3.09,807.75,0.377861,-1396.24,2.90406,-616.36,1.60586,0.786174,-1.35895,-0.142832
3.1,793.9,0.0590342,-1393.02,2.04832,-609.412,1.82656,0.772695,-1.35581,-0.141222
3.11,789.237,-0.613356,-1392.05,0.0625941,-611.459,0.487749,0.768155,-1.35487,-0.141697
3.12,805.685,0.336322,-1393.25,1.01839,-615.495,0.364273,0.784164,-1.35604,-0.142632
3.13,796.785,0.167286,-1394.88,0.557624,-606.136,-0.0948519,0.775502,-1.35762,-0.140463
3.14,792.219,-1.1795,-1397.24,-1.48917,-603.28,-0.356962,0.771058,-1.35992,-0.139801
3.15,810.546,0.232615,-1400.93,0.239191,-607.195,-0.523981,0.788896,-1.36351,-0.140709
3.16,803.297,0.379422,-1402.35,0.745877,-600.91,-0.0329695,0.78184,-1.36489,-0.139252
3.17,795.027,-0.455612,-1402.02,-0.546929,-600.67,-0.0494658,0.773791,-1.36457,-0.139197
3.18,809.772,0.711106,-1401.73,0.840024,-610.009,0.500775,0.788142,-1.36429,-0.141361
3.19,801.563,0.801026,-1398.38,2.07264,-608.009,0.466278,0.780153,-1.36103,-0.140897
3.2,788.812,-0.651664,-1394.96,-0.0426627,-606.917,1.18428,0.767742,-1.3577,-0.140644
3.21,803.46,0.55607,-1394.01,1.1677,-614.037,0.555921,0.781999,-1.35678,-0.142294
3.22,799.116,0.861234,-1392.7,2.11191,-609.683,0.204807,0.777771,-1.3555,-0.141285
3.23,787.356,-0.597924,-1392.29,-1.02213,-605.46,-0.0180421,0.766325,-1.3551,-0.140307
3.24,802.365,0.299296,-1394.79,-0.684136,-610.181,-0.66751,0.780934,-1.35753,-0.141401
3.25,803.82,1.07771,-1397.87,0.617607,-606.851,0.309786,0.782349,-1.36053,-0.140629
3.26,792.72,-0.314555,-1400.56,-1.6131,-600.633,-0.319293,0.771545,-1.36315,-0.139188
3.27,807.209,-0.0621681,-1404.08,-0.792269,-604.231,-0.853054,0.785648,-1.36658,-0.140022
3.28,810.604,0.735487,-1406.4,0.596176,-600.874,-0.281138,0.788952,-1.36884,-0.139244
3.29,796.483,-0.34172,-1405.68,-0.854316,-596.721,-0.139012,0.775208,-1.36813,-0.138281
3.3,806.986,0.274971,-1404.99,-0.974043,-603.396,-0.32824,0.785431,-1.36746,-0.139828
3.31,809.855,1.03928,-1403.52,-0.391678,-605.592,-0.036605,0.788223,-1.36604,-0.140337
3.32,793.814,0.0215037,-1400.57,-2.17549,-601.312,-0.378717,0.772611,-1.36316,-0.139345
3.33,801.109,0.298111,-1397.77,-2.95544,-606.257,-1.62836,0.77971,-1.36043,-0.140491
3.34,806.641,1.23527,-1397.33,-1.54859,-608.893,-0.865377,0.785095,-1.36001,-0.141102
3.35,792.312,0.542875,-1396.39,-2.80376,-602.28,-1.26478,0.771148,-1.35909,-0.13957
3.36,799.509,0.564787,-1397.9,-3.60829,-604.387,-1.11577,0.778153,-1.36056,-0.140058
3.37,809.22,1.56309,-1401.91,-1.44812,-604.404,-1.18093,0.787605,-1.36447,-0.140062
3.38,798.065,0.767325,-1404.72,-1.18417,-596.573,-0.421937,0.776748,-1.3672,-0.138247
3.39,804.971,0.635112,-1408.12,-2.46657,-595.023,0.474869,0.783469,-1.3705,-0.137888
3.4,816.298,1.73965,-1412.01,1.15237,-597.069,0.22185,0.794494,-1.37429,-0.138362
3.41,804.328,0.89765,-1412.32,0.62759,-592.483,1.02194,0.782843,-1.3746,-0.137299
3.42,805.697,0.237222,-1410.85,-0.0448426,-594.484,0.694563,0.784177,-1.37316,-0.137763
3.43,814.617,1.32295,-1409.41,0.537804,-601.052,0.700002,0.792858,-1.37177,-0.139285
3.44,801.234,0.784804,-1406.22,-1.06754,-599.341,0.370212,0.779833,-1.36866,-0.138889
3.45,798.825,0.068845,-1402.41,-3.613,-601.439,-1.66104,0.777488,-1.36495,-0.139375
3.46,808.251,1.48119,-1401.6,-2.97427,-606.181,-1.87571,0.786662,-1.36416,-0.140474
3.47,798.586,0.781075,-1400.69,-3.9194,-602.979,-1.67334,0.777255,-1.36327,-0.139732
3.48,795.486,-0.0415152,-1400.02,-4.35643,-601.446,-2.03061,0.774238,-1.36262,-0.139376
3.49,808.491,1.51466,-1402.95,-1.45727,-605.417,-1.10893,0.786895,-1.36548,-0.140297
3.5,802.533,0.790787,-1405.68,-2.01241,-602.68,0.6173,0.781097,-1.36813,-0.139662
3.51,799.411,-0.00316002,-1406.48,-2.61765,-598.435,-0.146392,0.778058,-1.36892,-0.138679
3.52,811.733,1.47086,-1409.76,-0.922179,-602.762,-0.507481,0.790051,-1.37211,-0.139681
3.53,806.746,0.96762,-1410.78,-1.33077,-600.701,-0.0419915,0.785197,-1.3731,-0.139204
3.54,800.376,-0.308571,-1409.35,-3.85185,-598.033,-0.612701,0.778997,-1.3717,-0.138585
3.55,811.07,0.873212,-1409.48,-2.45849,-602.391,-1.50434,0.789406,-1.37183,-0.139595
3.56,806.952,0.839346,-1409.75,-2.03284,-602.558,-0.977908,0.785397,-1.37209,-0.139634
3.57,799.062,-0.64709,-1408.01,-4.91824,-599.446,-1.24583,0.777719,-1.3704,-0.138913
3.58,809.247,1.46523,-1409.07,-5.04794,-601.957,-3.3691,0.787631,-1.37143,-0.139495
3.59,807.639,1.32175,-1410.15,-4.87478,-603.492,-2.39649,0.786067,-1.37248,-0.139851
3.6,799.366,-0.116814,-1409.2,-7.36261,-600.389,-3.40049,0.778015,-1.37156,-0.139132
3.61,808.066,1.63675,-1409.86,-6.11274,-603.539,-3.7635,0.786482,-1.3722,-0.139861
3.62,808.232,1.03064,-1411.07,-4.17552,-604.95,-2.76665,0.786644,-1.37338,-0.140188
3.63,799.369,-0.325429,-1409.31,-4.68873,-600.01,-1.60269,0.778017,-1.37167,-0.139044
3.64,806.922,0.91331,-1409.71,-2.5014,-600.913,-2.08967,0.785368,-1.37206,-0.139253
3.65,809.352,1.48976,-1411.55,0.268297,-602.676,-0.295853,0.787734,-1.37385,-0.139661
3.66,800.934,-0.523593,-1410.1,-0.62927,-598.071,1.45511,0.77954,-1.37244,-0.138594
3.67,806.777,0.424123,-1409.7,-0.275904,-599.317,0.198394,0.785227,-1.37204,-0.138883
3.68,809.822,1.80044,-1410.18,0.647255,-605.439,0.502616,0.788191,-1.37252,-0.140302
3.69,800.373,-0.705345,-1407.49,-0.722803,-603.903,0.600308,0.778994,-1.3699,-0.139946
3.7,803.956,0.12816,-1406.51,-1.98489,-604.269,-1.38486,0.782481,-1.36894,-0.14003
3.71,808.674,1.49389,-1408.42,-0.868622,-608.635,-0.961732,0.787074,-1.3708,-0.141042
3.72,800.15,-0.460184,-1406.73,-2.40532,-605.589,-0.194874,0.778778,-1.36915,-0.140336
3.73,802.642,0.433569,-1407.28,-3.39031,-604.705,-0.726348,0.781202,-1.36969,-0.140132
3.74,808.478,1.46869,-1408.54,-0.884258,-608.583,-0.277467,0.786883,-1.37092,-0.14103
3.75,802.175,-0.743014,-1407.52,-1.55264,-605.131,0.0784758,0.780748,-1.36993,-0.14023
3.76,801.858,0.10334,-1406.42,-2.92194,-604.603,-1.47768,0.78044,-1.36885,-0.140108
3.77,808.814,1.48653,-1409.13,-1.90346,-609.177,-1.80261,0.78721,-1.37149,-0.141168
3.78,802.986,-0.479908,-1408.04,-3.12533,-607.271,-0.458727,0.781537,-1.37043,-0.140726
3.79,802.093,-0.284142,-1407.78,-4.56044,-603.183,-1.88314,0.780668,-1.37018,-0.139779
3.8,809.215,2.08988,-1409.97,-1.85513,-607.145,-1.58047,0.7876,-1.37231,-0.140697
3.81,804.537,-0.182511,-1409.37,-1.2694,-606.541,0.278835,0.783047,-1.37172,-0.140557
3.82,801.493,-0.163318,-1407.9,-0.985622,-603.2,0.237079,0.780085,-1.37029,-0.139783
3.83,808.841,1.7736,-1410.66,2.59488,-606.731,1.61516,0.787236,-1.37298,-0.140601
3.84,805.795,-0.24465,-1410.59,3.46021,-606.52,3.37918,0.784271,-1.37291,-0.140552
3.85,802.281,-0.557667,-1409.67,2.35067,-601.849,1.88346,0.780851,-1.37202,-0.13947
3.86,809.403,1.19939,-1412.06,3.96145,-604.723,1.33405,0.787783,-1.37434,-0.140136
3.87,808.666,-0.062034,-1413.25,4.04492,-604.844,2.51256,0.787066,-1.37551,-0.140164
3.88,804.139,-1.13386,-1411.59,1.91175,-600.056,1.02984,0.78266,-1.37389,-0.139054
3.89,810.786,1.26059,-1413.85,1.92844,-602.878,-0.551255,0.789129,-1.37609,-0.139708
3.9,810.414,0.257914,-1413.77,1.3684,-605.044,1.04016,0.788767,-1.376,-0.14021
3.91,804.709,-0.959527,-1411.04,0.565538,-600.802,0.247029,0.783214,-1.37335,-0.139227
3.92,809.141,1.18095,-1412.1,1.07977,-603.101,-0.900192,0.787528,-1.37438,-0.13976
3.93,809.816,0.219464,-1412.58,2.83384,-604.819,1.46571,0.788185,-1.37484,-0.140158
3.94,803.988,-1.22812,-1410.53,1.82501,-598.553,1.60081,0.782512,-1.37286,-0.138706
3.95,808.432,1.37003,-1412.64,2.88428,-599.245,1.32317,0.786838,-1.37491,-0.138866
3.96,811.965,0.118084,-1414.8,4.80234,-600.367,3.02058,0.790277,-1.37701,-0.139126
3.97,807.119,-1.86824,-1413.99,2.92943,-593.369,2.3631,0.785561,-1.37623,-0.137505
3.98,810.726,1.19766,-1416.55,2.8841,-593.448,1.13224,0.789071,-1.37872,-0.137523
3.99,814.774,0.533689,-1418.58,3.80547,-597.682,2.82818,0.793011,-1.38069,-0.138504
4,809.032,-1.38274,-1417,2.29676,-593.359,3.18437,0.787422,-1.37915,-0.137502
4.01,809.82,1.62739,-1416.71,3.06154,-594.939,1.52994,0.788189,-1.37887,-0.137869
4.02,813.795,1.65937,-1417.38,4.51324,-599.801,4.72466,0.792058,-1.37952,-0.138995
4.03,808.075,-0.925037,-1415.08,4.2888,-596.535,4.36867,0.786491,-1.37729,-0.138238
4.04,807.255,1.29268,-1413.69,4.77547,-595.361,1.82449,0.785692,-1.37593,-0.137966
4.05,812.52,1.32629,-1415.97,6.56024,-599.5,3.78214,0.790817,-1.37815,-0.138926
