t_s,u_stream_mean,u_stream_rms,u_lat_rms,u_vert_rms
3,12,0.80276,0.880623,0.593526
3.01,12,0.79591,0.845606,0.559331
3.02,12,0.806501,0.845777,0.561678
3.03,12,0.79351,0.804968,0.54317
3.04,12,0.796141,0.804465,0.576749
3.05,12,0.782893,0.777649,0.567422
3.06,12,0.787751,0.786232,0.600091
3.07,12,0.770972,0.770138,0.58647
3.08,12,0.771397,0.794786,0.614764
3.09,12,0.75352,0.777891,0.573505
3.1,12,0.753765,0.798044,0.57545
3.11,12,0.734567,0.778191,0.552988
3.12,12,0.735773,0.797811,0.579747
3.13,12,0.720811,0.76963,0.554174
3.14,12,0.72658,0.775086,0.576323
3.15,12,0.711015,0.744216,0.572639
3.16,12,0.712564,0.753322,0.61698
3.17,12,0.6924,0.741962,0.608697
3.18,12,0.690138,0.77083,0.639808
3.19,12,0.673842,0.748545,0.625269
3.2,12,0.678411,0.759258,0.653034
3.21,12,0.666123,0.720396,0.620156
3.22,12,0.675718,0.717166,0.632055
3.23,12,0.661378,0.678005,0.610275
3.24,12,0.667117,0.679258,0.634002
3.25,12,0.652056,0.652003,0.626864
3.26,12,0.659388,0.666349,0.657998
3.27,12,0.649693,0.634315,0.653515
3.28,12,0.663477,0.643799,0.686661
3.29,12,0.658192,0.625953,0.661071
3.3,12,0.674436,0.655001,0.669193
3.31,12,0.672661,0.646425,0.633614
3.32,12,0.690878,0.681747,0.63321
3.33,12,0.686133,0.702112,0.614827
3.34,12,0.698481,0.768343,0.641841
3.35,12,0.688463,0.787523,0.625024
3.36,12,0.696867,0.834642,0.6481
3.37,12,0.682486,0.839904,0.621075
3.38,12,0.685906,0.873582,0.637338
3.39,12,0.665793,0.88104,0.614231
3.4,12,0.664562,0.91837,0.634238
3.41,12,0.647845,0.932906,0.613553
3.42,12,0.650911,0.975945,0.634988
3.43,12,0.64184,0.966846,0.621197
3.44,12,0.651839,0.980194,0.649418
3.45,12,0.647434,0.96631,0.644601
3.46,12,0.662831,0.9762,0.679665
3.47,12,0.657049,0.941892,0.658332
3.48,12,0.670072,0.931899,0.67709
3.49,12,0.663417,0.900153,0.649742
3.5,12,0.678404,0.899044,0.662482
3.51,12,0.672226,0.869214,0.647532
3.52,12,0.685829,0.871298,0.669937
3.53,12,0.675991,0.840659,0.631616
3.54,12,0.685481,0.843697,0.629975
3.55,12,0.677325,0.805977,0.595935
3.56,12,0.687535,0.803847,0.611535
3.57,12,0.676681,0.785379,0.586231
3.58,12,0.683976,0.802998,0.602769
3.59,12,0.669824,0.780356,0.57942
3.6,12,0.673066,0.792918,0.60718
